State County,City,Property Name,Property Numbe Site Number Category,Division District,Property Name Property Numbe Site Number,Unnamed: 0,Category,Property Numbe Site Number
NY Seneca County,WILLARD,SAMPSON AFB,C02NY0032 02 MMRP,NAD NAE,,,,
NY Seneca County,WILLARD,SAMPSON AFB,C02NY0032 03 HTRW,NAD NAE,,,,
NY Niagara County,YOUNGSTOWN,AFPLT NO 68,C02NY0576 01 BD/DR,NAD NAE,,,,
NY Niagara County,YOUNGSTOWN,FORT NIAGARA,C02NY0613 01 CON/HTRW,NAD NAE,,,,
NY Niagara County,YOUNGSTOWN,FORT NIAGARA,C02NY0613 02 HTRW,NAD NAE,,,,
NY Niagara County,YOUNGSTOWN,FORT NIAGARA,C02NY0613 03 MMRP,NAD NAE,,,,
NY Niagara County,YOUNGSTOWN,LAKE ONTARIO ORDNANCE WORKS,C02NY0025 00 HTRW,NAD NAE,,,,
NY Niagara County,YOUNGSTOWN,LAKE ONTARIO ORDNANCE WORKS,C02NY0025 01 HTRW,NAD NAE,,,,
NY Niagara County,YOUNGSTOWN,LAKE ONTARIO ORDNANCE WORKS,C02NY0025 02 HTRW,NAD NAE,,,,
NY Niagara County,YOUNGSTOWN,LAKE ONTARIO ORDNANCE WORKS,C02NY0025 04 HTRW,NAD NAE,,,,
NY Niagara County,YOUNGSTOWN,LAKE ONTARIO ORDNANCE WORKS,C02NY0025 06 CON/HTRW,NAD NAE,,,,
NY Niagara County,YOUNGSTOWN,LAKE ONTARIO ORDNANCE WORKS,C02NY0025 10 HTRW,NAD NAE,,,,
NY Niagara County,YOUNGSTOWN,LAKE ONTARIO ORDNANCE WORKS,C02NY0025 11 HTRW,NAD NAE,,,,
NY Niagara County,YOUNGSTOWN,LAKE ONTARIO ORDNANCE WORKS,C02NY0025 12 HTRW,NAD NAE,,,,
68 Sites in West Virginia,,,,,,,,
WV Kanawha County,CHARLESTON,YEAGER AIR NATIONAL GUARD,G03WV0001 02 CON/HTRW,LRD LRL,,,,
WV Kanawha County,CHARLESTON,YEAGER AIR NATIONAL GUARD,G03WV0001 03 HTRW,LRD LRL,,,,
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 00 HTRW,LRD LRL,,,,
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 01 HTRW,LRD LRL,,,,
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 02 HTRW,LRD LRL,,,,
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 03 HTRW,LRD LRL,,,,
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 04 HTRW,LRD LRL,,,,
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 05 HTRW,LRD LRL,,,,
